symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
BTCUSDT,76310.0,76335.37,76321.75407407402,55.50705329677712,729,1.019810000000005,76335.37,76310.01,7.4503055841205015,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2322.79,2323.42,2323.113724489789,0.03370476277407178,392,6.923300000000014,2323.42,2322.79,0.183588569290334,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.4295,1.4297,1.4295793103448282,6.231094978800739E-9,58,4492.9,1.4297,1.4295,7.893728509899956E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,86.28,86.31,86.29056338028164,6.539235412482826E-5,71,51.413999999999994,86.31,86.28,0.008086553909102954,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,76288.31,76302.0,76293.6677540107,12.710448025259703,374,1.1670200000000022,76288.31,76302.0,3.565171528167993,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,1.4291,1.4292,1.42912,1.7777777777721899E-9,10,315.2,1.4292,1.4291,4.216370213551213E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2322.11,2322.14,2322.122830188678,7.068214804326374E-5,53,0.8965,2322.14,2322.11,0.008407267572955183,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
AVAXUSDT,9.4,9.4,9.400000000000004,0.0,27,1404.0599999999995,9.4,9.4,0.0,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09499,0.095,0.09499124999999999,1.1413043478255486E-11,24,81355.0,0.09499,0.095,3.378319623460084E-6,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
DOGEUSDT,0.09496,0.09499,0.09497633333333341,1.1175141242945311E-10,60,8257.0,0.09499,0.09496,1.0571254061342633E-5,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2026-04-21 20:02:00,2026-04-21 20:03:00
