symbol,window_start,window_end,price_min,price_max,price_avg,price_variance,trade_count,total_volume,pct_return,volatility,volume_intensity,price_speed,prediction,distance_to_centroid,label,label_binary,window_start_str,window_end_str
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.4292,1.4294,1.4292720588235275,7.118086040344815E-9,68,1153.7999999999997,-1.3991884706868475E-4,5.9029174926601084E-5,16.967647058823527,1.3993137189332827E-4,0,0.7363297172990049,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76289.3,76302.0,76295.74235074634,19.32167123256452,268,2.4258100000000042,-1.6631283142159631E-4,5.7613205729559045E-5,0.009051529850746285,1.6645751923629926E-4,0,0.867308517100297,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2321.92,2322.24,2322.097683615822,0.00984901009901214,354,28.044200000000025,-8.182178354264834E-5,4.273815857627021E-5,0.07922090395480233,1.3780643349224888E-4,0,0.4507114202810599,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.429,1.4291,1.429039393939394,2.462121212128487E-9,33,1794.7,0.0,3.4722462204610865E-5,54.38484848484848,6.997707720591363E-5,0,0.3098424795853133,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.32,86.35,86.33816326530612,9.14369871660327E-5,98,250.82600000000025,-3.474232773595963E-4,1.107536756904439E-4,2.5594489795918394,3.4747090817550724E-4,0,2.208617768141205,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ADAUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,0.2493,0.2493,0.2493,0.0,5,568.4,0.0,0.0,113.67999999999999,0.0,0,0.8865310058611965,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76335.37,76338.63,76337.61447552455,2.2078009553401623,143,0.6527000000000006,-4.257346509886279E-5,1.946441583357104E-5,0.004564335664335669,4.270502847655186E-5,0,0.605394822871052,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2323.43,2323.62,2323.5698245614017,0.0019451016922699333,114,3.272400000000008,-7.746566764658916E-5,1.8980839989571312E-5,0.02870526315789481,8.17707296727866E-5,0,0.5864920834434635,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.4297,1.4298,1.42978,1.9999999999990046E-9,5,1139.6,0.0,3.1278490082379566E-5,227.92,6.994083005776342E-5,0,0.4091418656351434,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
XRPUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,1.4297,1.4298,1.4297100000000003,9.999999999997798E-10,10,1544.8,6.994474365250681E-5,2.2118315323863097E-5,154.48,6.99442544292122E-5,0,0.49233314393426936,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
BTCUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,76338.62,76338.63,76338.62333333334,2.5000000046089724E-5,9,0.05403,0.0,6.549764439393181E-8,0.006003333333333334,1.3099528878911175E-7,0,0.8971067104725526,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
ETHUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,2323.59,2323.62,2323.602459016393,7.551912568442484E-5,61,1.7516999999999987,8.607370491343915E-6,3.7399573470703827E-6,0.02871639344262293,1.2910986508615023E-5,0,0.8128549997483843,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
SOLUSDT,2026-04-21T20:02:00.000-06:00,2026-04-21T20:03:00.000-06:00,86.3,86.33,86.31509090909093,4.397306397314442E-5,55,105.74500000000002,-2.3166917641603176E-4,7.682571866187861E-5,1.922636363636364,3.4756378848743654E-4,0,1.6568570739294453,normal,0,2026-04-21 20:02:00,2026-04-21 20:03:00
